week_start,week_end,exposure_days,field_area_ha,T_mean,RH_mean,VPD_mean,in_tepp_window,apps_so_far,aphid_count,catch_rate,log_catch,catch_trend,doy_sin,doy_cos,scope_label,water_label
2025-03-03,2025-03-09,7,1.0,9.32,77.9,0.259,0,0,8,1.1428571428571428,0.7621400520468967,0.0,0.8755389928586302,0.4831474640149687,0,0
2025-03-10,2025-03-16,7,1.0,8.12,75.4,0.266,0,0,2,0.2857142857142857,0.2513144282809061,-0.8571428571428571,0.9272375462179537,0.374473674486883,0,0
2025-03-17,2025-03-23,7,1.0,11.64,81.6,0.252,0,0,17,2.4285714285714284,1.2321436812926323,2.142857142857143,0.9655071658143364,0.2603764827344581,0,0
2025-03-24,2025-03-30,7,1.0,12.77,83.2,0.248,0,0,1,0.14285714285714285,0.13353139262452263,-2.2857142857142856,0.9897936029670716,0.14250832791617088,0,0
2025-03-31,2025-04-06,7,1.0,9.27,76.1,0.279,0,0,2,0.2857142857142857,0.2513144282809061,0.14285714285714285,0.9997451236925734,0.022576263041545485,0,0
2025-04-07,2025-04-13,7,1.0,11.06,71.5,0.376,0,0,4,0.5714285714285714,0.4519851237430572,0.2857142857142857,0.9952176027737294,-0.09768276782171598,0,0
2025-04-14,2025-04-20,7,1.0,14.0,70.7,0.468,0,0,6,0.8571428571428571,0.6190392084062234,0.2857142857142857,0.9762766110869321,-0.21652708524481437,0,0
2025-04-21,2025-04-27,7,1.0,14.08,77.2,0.366,0,0,17,2.4285714285714284,1.2321436812926323,1.5714285714285712,0.9431964659565866,-0.33223549871590435,0,0
2025-04-28,2025-05-04,7,1.0,15.23,76.9,0.4,0,0,11,1.5714285714285714,0.9444616088408514,-0.857142857142857,0.8964562582905575,-0.44313223418263453,0,0
2025-05-05,2025-05-11,7,1.0,14.61,75.1,0.414,0,0,7,1.0,0.6931471805599453,-0.5714285714285714,0.8367329140344921,-0.5476112038402312,0,0
2025-05-12,2025-05-18,7,1.0,17.78,68.4,0.643,0,0,3,0.42857142857142855,0.35667494393873234,-0.5714285714285714,0.7648913904341225,-0.6441592666722685,0,0
2025-05-19,2025-05-25,7,1.0,18.11,72.4,0.574,1,0,12,1.7142857142857142,0.9985288301111271,1.2857142857142856,0.6819721490904629,-0.7313781428679254,2,500
2025-05-26,2025-06-01,7,1.0,17.45,71.3,0.572,1,0,13,1.8571428571428572,1.0498221244986776,0.14285714285714302,0.5891760872322963,-0.8080046647350754,1,350
2025-06-02,2025-06-08,7,1.0,19.35,71.5,0.64,1,0,27,3.857142857142857,1.580450375560848,2.0,0.4878471454423119,-0.8729290708206411,2,500
2025-06-09,2025-06-15,7,1.0,18.57,74.5,0.545,1,0,7,1.0,0.6931471805599453,-2.857142857142857,0.37945284372454435,-0.925211078289358,0,0
2025-06-16,2025-06-22,7,1.0,16.69,71.1,0.549,1,0,3,0.42857142857142855,0.35667494393873234,-0.5714285714285714,0.26556302780405594,-0.9640935007889755,0,0
2025-06-23,2025-06-29,7,1.0,18.55,73.4,0.568,1,0,1,0.14285714285714285,0.13353139262452263,-0.2857142857142857,0.14782713347053048,-0.9890132145779883,0,0
2025-06-30,2025-07-06,7,1.0,16.46,70.4,0.554,1,0,12,1.7142857142857142,0.9985288301111271,1.5714285714285714,0.02795029824021032,-0.999609314096404,2,500
2025-07-07,2025-07-13,7,1.0,19.03,71.8,0.621,1,0,7,1.0,0.6931471805599453,-0.7142857142857142,-0.09233133369539122,-0.9957283388645872,0,0
2025-07-14,2025-07-20,7,1.0,17.35,73.8,0.519,1,0,13,1.8571428571428572,1.0498221244986776,0.8571428571428572,-0.2112757555821793,-0.9774264960104055,2,500
2025-07-21,2025-07-27,7,1.0,16.77,63.8,0.691,1,0,5,0.7142857142857143,0.538996500732687,-1.1428571428571428,-0.3271603271220951,-0.9449688462364056,0,0
2025-07-28,2025-08-03,7,1.0,15.56,70.0,0.53,1,0,8,1.1428571428571428,0.7621400520468967,0.4285714285714285,-0.4383067230125192,-0.898825465016444,0,0
2025-08-04,2025-08-10,7,1.0,17.87,69.9,0.616,1,0,28,4.0,1.6094379124341003,2.857142857142857,-0.5431052396834317,-0.8396646346181327,2,500
2025-08-11,2025-08-17,7,1.0,15.18,69.8,0.521,1,0,10,1.4285714285714286,0.8873031950009028,-2.571428571428571,-0.6400381082043503,-0.7683431655492202,1,350
2025-08-18,2025-08-24,7,1.0,14.08,72.4,0.444,1,0,7,1.0,0.6931471805599453,-0.4285714285714286,-0.7277014757264236,-0.6858939875998223,0,0
2025-08-25,2025-08-31,7,1.0,13.46,82.1,0.276,1,0,13,1.8571428571428572,1.0498221244986776,0.8571428571428572,-0.8048257371083452,-0.593511190196115,1,350
2025-09-01,2025-09-07,7,1.0,14.0,71.2,0.46,1,0,9,1.2857142857142858,0.826678573184468,-0.5714285714285714,-0.8702939222685674,-0.49253272872205434,0,0
2025-09-08,2025-09-14,7,1.0,12.94,81.3,0.279,1,0,17,2.4285714285714284,1.2321436812926323,1.1428571428571426,-0.9231578729647039,-0.38442104726885545,2,500
2025-09-15,2025-09-21,7,1.0,12.18,68.9,0.441,1,0,3,0.42857142857142855,0.35667494393873234,-1.9999999999999998,-0.9626519747161487,-0.2707418984477642,0,0
2025-09-22,2025-09-28,7,1.0,11.36,76.7,0.313,0,0,5,0.7142857142857143,0.538996500732687,0.28571428571428575,-0.9882042449941422,-0.15314166701312007,0,0
2025-09-29,2025-10-05,7,1.0,13.09,80.1,0.3,0,0,10,1.4285714285714286,0.8873031950009028,0.7142857142857143,-0.9994446170919858,-0.033323525711631344,0,0
2025-10-06,2025-10-12,7,1.0,8.44,83.2,0.186,0,0,16,2.2857142857142856,1.1895840668738364,0.857142857142857,-0.9962102997023297,0.0869772313136861,0,0
